 ID,Gene.symbol,Gene.title,log2Exp,log2FC
206741_at,SSUH2,ssu-2 homolog (C. elegans),4.33,-3.335
206755_at,CYP2B6,cytochrome P450 family 2 subfamily B member 6,4.938,-2.693
206776_x_at,ACRV1,acrosomal vesicle protein 1,6.143,-1.368
206783_at,FGF4,fibroblast growth factor 4,6.162,-1.427
206791_s_at,LOC729966///PDE4C,uncharacterized LOC729966///phosphodiesterase 4C,6.322,-1.437
206794_at,ERBB4,erb-b2 receptor tyrosine kinase 4,4.748,-1.547
206796_at,WISP1,WNT1 inducible signaling pathway protein 1,3.68,-2.312
206800_at,MTHFR,methylenetetrahydrofolate reductase (NAD(P)H),4.365,-1.932
206801_at,NPPB,natriuretic peptide B,3.923,-1.869
206803_at,PDYN,prodynorphin,2.395,-1.636
206807_s_at,ADD2,adducin 2,6.274,-1.289
206818_s_at,CNNM2,cyclin and CBS domain divalent metal cation transport mediator 2,6.48,-1.141
206832_s_at,SEMA3F,semaphorin 3F,3.625,-5.374
206838_at,TBX19,T-box 19,6.121,-1.373
206846_s_at,HDAC6,histone deacetylase 6,8.891,-1.258
206857_s_at,FKBP1B,FK506 binding protein 1B,7.839,-3.218
206866_at,CDH4,cadherin 4,3.624,-6.468
206873_at,CA6,carbonic anhydrase 6,4.587,-2.329
206877_at,MXD1,MAX dimerization protein 1,2.663,-2.487
206878_at,DAO,D-amino acid oxidase,5.221,-1.422
206880_at,P2RX6,purinergic receptor P2X 6,4.743,-2.055
206882_at,SLC1A6,solute carrier family 1 member 6,2.734,-1.799
206887_at,ACKR2,atypical chemokine receptor 2,5.758,-1.157
206899_at,NTSR2,neurotensin receptor 2,1.334,-1.51
206922_at,VCY1B///VCY,"variable charge, Y-linked 1B///variable charge, Y-linked",5.112,-2.533
206924_at,IL11,interleukin 11,5.486,-3.486
206926_s_at,IL11,interleukin 11,3.863,-3.311
206928_at,ZNF124,zinc finger protein 124,4.395,2.152
206930_at,GLYAT,glycine-N-acyltransferase,5.12,-1.553
206937_at,SPTA1,"spectrin alpha, erythrocytic 1",4.712,-1.532
206941_x_at,SEMA3E,semaphorin 3E,6.685,2.866
206942_s_at,PMCH,pro-melanin concentrating hormone,5.093,1.754
206955_at,LOC101930168///LOC100509620///AQP7,putative aquaporin-7-like protein 3///putative aquaporin-7-like protein 3///aquaporin 7,5.377,-1.333
206956_at,PMF1-BGLAP///PMF1///BGLAP,PMF1-BGLAP readthrough///polyamine-modulated factor 1///bone gamma-carboxyglutamate protein,6.546,-1.01
206969_at,LOC100653049///KRT34,"keratin, type I cuticular Ha4///keratin 34",2.717,-3.479
206975_at,LTA,lymphotoxin alpha,2.234,-1.199
206979_at,C8B,"complement component 8, beta polypeptide",4.623,-2.069
206985_at,HSD17B3,hydroxysteroid 17-beta dehydrogenase 3,5.26,-2.325
206988_at,CCL25,C-C motif chemokine ligand 25,3.57,-2.152
206990_at,TNR,tenascin R,4.461,-2.006
206991_s_at,CCR5,C-C motif chemokine receptor 5 (gene/pseudogene),2.629,-1.101
207011_s_at,PTK7,protein tyrosine kinase 7 (inactive),7.664,-2.323
207016_s_at,LOC101928635///ALDH1A2,uncharacterized LOC101928635///aldehyde dehydrogenase 1 family member A2,4.02,-2.034
207020_at,HSF2BP,heat shock transcription factor 2 binding protein,5.604,-2.459
207028_at,MYCNOS,MYCN opposite strand,2.64,-1.436
207034_s_at,GLI2,GLI family zinc finger 2,3.78,-2.814
207039_at,CDKN2A,cyclin dependent kinase inhibitor 2A,9.76,-2.008
207047_s_at,CLCNKB///CLCNKA,chloride voltage-gated channel Kb///chloride voltage-gated channel Ka,5.013,-1.229
207051_at,SLC17A4,solute carrier family 17 member 4,6.263,-1.167
207055_at,GPR37L1,G protein-coupled receptor 37 like 1,2.382,-1.571
207063_at,TTTY14,"testis-specific transcript, Y-linked 14 (non-protein coding)",3.19,-3.37
207064_s_at,AOC2,"amine oxidase, copper containing 2",6.403,-1.108
207075_at,NLRP3,NLR family pyrin domain containing 3,5.694,-1.726
207103_at,KCND2,potassium voltage-gated channel subfamily D member 2,4.098,2.187
207104_x_at,LILRB1,leukocyte immunoglobulin like receptor B1,2.315,-1.307
207114_at,LY6G6C,"lymphocyte antigen 6 complex, locus G6C",6.166,-1.061
207126_x_at,UGT1A1///UGT1A4///UGT1A9///UGT1A6///UGT1A8///UGT1A10,UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10,6.726,-1.413
207129_at,CA5B,carbonic anhydrase 5B,3.038,-2.323
207130_at,ZMYND8,zinc finger MYND-type containing 8,6.626,-1.836
207133_x_at,ALPK1,alpha kinase 1,5.852,1.558
207137_at,TONSL,"tonsoku-like, DNA repair protein",2.005,-1.516
207140_at,ALPI,"alkaline phosphatase, intestinal",1.445,-1.221
207146_at,KRT32,keratin 32,3.221,-2.236
207154_at,DIO3,"deiodinase, iodothyronine, type III",4.234,-1.88
207156_at,HIST1H2AH///HIST1H2AG///HIST1H2AM///HIST1H2AL///HIST1H2AK///HIST1H2AI,"histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2am///histone cluster 1, H2al///histone cluster 1, H2ak///histone cluster 1, H2ai",6.898,3.319
207166_at,GNGT1,G protein subunit gamma transducin 1,3.678,2.342
207169_x_at,MIR4640///DDR1,microRNA 4640///discoidin domain receptor tyrosine kinase 1,9.771,-2.897
207183_at,GPR19,G protein-coupled receptor 19,6.597,1.995
207187_at,JAK3,Janus kinase 3,6.675,-1.385
207192_at,DNASE1L2,deoxyribonuclease 1 like 2,2.922,-2.231
207196_s_at,TNIP1,TNFAIP3 interacting protein 1,10.308,-1.277
207205_at,CEACAM4,carcinoembryonic antigen related cell adhesion molecule 4,5.497,-1.713
207216_at,TNFSF8,tumor necrosis factor superfamily member 8,5.099,-1.896
207218_at,F9,coagulation factor IX,4.904,-1.129
207224_s_at,SIGLEC7,sialic acid binding Ig like lectin 7,5.162,-1.627
207232_s_at,DZIP3,DAZ interacting zinc finger protein 3,5.71,3.229
207236_at,ZNF345,zinc finger protein 345,4.149,1.879
207239_s_at,CDK16,cyclin dependent kinase 16,8.665,-1.347
207251_at,MEP1B,meprin A subunit beta,4.963,1.377
207253_s_at,UBN1,ubinuclein 1,8.432,-1.245
207255_at,LEPROT///LEPR,leptin receptor overlapping transcript///leptin receptor,5.341,-1.264
207258_at,DSCR4,Down syndrome critical region 4,5.63,-1.333
207261_at,CNGA3,cyclic nucleotide gated channel alpha 3,0.507,-1.576
207271_x_at,SPAG11A///SPAG11B,sperm associated antigen 11A///sperm associated antigen 11B,1.882,-1.622
207277_at,CD209,CD209 molecule,5.046,-2.217
207278_s_at,CD209,CD209 molecule,4.214,-2.083
207304_at,ZNF45,zinc finger protein 45,7.186,1.158
207309_at,NOS1,nitric oxide synthase 1,6.04,-1.067
207310_s_at,NOS1,nitric oxide synthase 1,1.304,-1.401
207318_s_at,CDK13,cyclin dependent kinase 13,8.827,-1.334
207323_s_at,MBP,myelin basic protein,5.861,-1.344
207330_at,PZP,"PZP, alpha-2-macroglobulin like",4.595,-2.241
207334_s_at,TGFBR2,transforming growth factor beta receptor 2,3.654,-1.831
207345_at,FST,follistatin,6.142,-3.705
207347_at,ERCC6,"ERCC excision repair 6, chromatin remodeling factor",6.545,-1.803
207354_at,CCL16,C-C motif chemokine ligand 16,3.882,-2.225
207355_at,SLC1A7,solute carrier family 1 member 7,3.967,-1.623
207364_at,TEX28,testis expressed 28,2.321,-1.272
207367_at,ATP12A,ATPase H+/K+ transporting non-gastric alpha2 subunit,4.84,-1.785
207369_at,BRS3,bombesin receptor subtype 3,5.386,-1.484
207371_at,,,2.574,-3.131
207377_at,PPP1R2P9,protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 9,1.077,-1.465
207382_at,TP63,tumor protein p63,5.789,-1.925
207384_at,PGLYRP1,peptidoglycan recognition protein 1,3.196,-2.011
207385_at,TFDP3,transcription factor Dp family member 3,1.561,-1.393
207389_at,GP1BA,glycoprotein Ib platelet alpha subunit,6.496,-1.812
207390_s_at,SMTN,smoothelin,7.691,-2.472
207400_at,NPY5R,neuropeptide Y receptor Y5,6.529,-1.262
207402_at,ZNF132,zinc finger protein 132,5.266,-1.854
207408_at,SLC22A14,solute carrier family 22 member 14,6.202,-1.258
207412_x_at,CELP,carboxyl ester lipase pseudogene,2.247,-1.72
207413_s_at,SCN5A,sodium voltage-gated channel alpha subunit 5,5.852,-1.315
207418_s_at,DDO,D-aspartate oxidase,1.896,-1.29
207422_at,ADAM20,ADAM metallopeptidase domain 20,3.815,-2.841
207423_s_at,ADAM20,ADAM metallopeptidase domain 20,5.482,-1.886
207427_at,ACR,acrosin,2.81,-1.807
207432_at,BEST2,bestrophin 2,2.383,-3.302
207435_s_at,SRRM2,serine/arginine repetitive matrix 2,10.317,-1.299
207437_at,NOVA1,NOVA alternative splicing regulator 1,5.235,2.999
207442_at,CSF3,colony stimulating factor 3,2.777,-3.607
207449_s_at,POFUT2,protein O-fucosyltransferase 2,4.346,-1.976
207454_at,GRIK3,glutamate ionotropic receptor kainate type subunit 3,3.557,-1.363
207462_at,GLRA2,glycine receptor alpha 2,4.748,-2.514
207463_x_at,PRSS3,"protease, serine 3",6.822,-3.462
207474_at,SNRK,SNF related kinase,5.489,-1.569
207475_at,FABP2,fatty acid binding protein 2,4.185,-2.21
207482_at,TP53TG5,TP53 target 5,5.131,-1.086
207485_x_at,BTN3A1,butyrophilin subfamily 3 member A1,4.506,-1.858
207486_x_at,CHN2,chimerin 2,5.907,-1.048
207487_at,,,4.31,-3.181
207488_at,,,2.68,-1.497
207494_s_at,ZNF76,zinc finger protein 76,6.136,1.775
207495_at,RAB28,"RAB28, member RAS oncogene family",6.055,1.876
207510_at,BDKRB1,bradykinin receptor B1,5.867,-1.446
207517_at,LAMC2,laminin subunit gamma 2,6.356,-4.303
207518_at,DGKE,diacylglycerol kinase epsilon,4.951,-1.82
207523_at,C6orf10,chromosome 6 open reading frame 10,1.987,-3.591
207526_s_at,IL1RL1,interleukin 1 receptor like 1,6.482,-5.076
207532_at,CRYGD,crystallin gamma D,5.433,-1.256
207533_at,CCL1,C-C motif chemokine ligand 1,1.651,-1.489
207535_s_at,NFKB2,nuclear factor kappa B subunit 2,5.849,-1.051
207565_s_at,MR1,"major histocompatibility complex, class I-related",6.427,-2.398
207567_at,SLC13A2,solute carrier family 13 member 2,1.747,-3.636
207570_at,SHOX,short stature homeobox,2.452,-1.505
207582_at,PIN1P1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1 pseudogene 1",5.268,-1.68
207587_at,CRYGA,crystallin gamma A,2.311,-1.607
207601_at,SULT1B1,sulfotransferase family 1B member 1,6.232,-1.332
207613_s_at,CAMK2A,calcium/calmodulin dependent protein kinase II alpha,2.463,-2.258
207641_at,TNFRSF13B,TNF receptor superfamily member 13B,5.154,-1.67
207649_at,KRT37,keratin 37,5.565,-1.279
207652_s_at,CMKLR1,chemerin chemokine-like receptor 1,4.376,-2.591
207665_at,ADAM21,ADAM metallopeptidase domain 21,5.987,-1.306
207671_s_at,BEST1,bestrophin 1,4.063,-2.136
207673_at,NPHS1,"NPHS1, nephrin",2.668,-1.002
207675_x_at,ARTN,artemin,7.725,-1.601
207683_at,FOXN1,forkhead box N1,2.15,-1.872
207685_at,CRYBB3,crystallin beta B3,1.781,-1.145
207687_at,INHBC,inhibin beta C subunit,6.705,-1.379
207688_s_at,INHBC,inhibin beta C subunit,8.128,-1.165
207692_s_at,ACAN,aggrecan,6.078,-1.331
207693_at,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4,2.993,-1.498
207701_at,C22orf24,chromosome 22 open reading frame 24,6.227,-1.284
207704_s_at,GAS7,growth arrest specific 7,2.574,-2.703
207705_s_at,NINL,ninein like,8.076,1.629
207706_at,USH2A,usherin,2.358,-2.394
207708_at,ALOXE3,arachidonate lipoxygenase 3,6.594,-1.583
207709_at,PRKAA2,protein kinase AMP-activated catalytic subunit alpha 2,5.163,1.442
207713_s_at,RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1,8.257,-2.456
207717_s_at,PKP2,plakophilin 2,8.548,-2.092
207731_at,,,3.329,-2.076
207733_x_at,PSG9,pregnancy specific beta-1-glycoprotein 9,6.449,-1.569
207736_s_at,TNP2,transition protein 2,1.806,-1.395
207741_x_at,TPSAB1,tryptase alpha/beta 1,3.202,-1.45
207752_x_at,PRB1,proline rich protein BstNI subfamily 1,4.982,-1.651
207756_at,,,1.433,-1.692
207767_s_at,EGR4,early growth response 4,5.875,-1.333
207772_s_at,PRMT8,protein arginine methyltransferase 8,2.265,-2.722
207778_at,REG1CP,"regenerating family member 1 gamma, pseudogene",2.263,-1.287
207787_at,KRT33B,keratin 33B,4.478,-3.101
207804_s_at,FCN2,ficolin 2,4.341,-2.014
207820_at,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide",4.707,-1.487
207823_s_at,AIF1,allograft inflammatory factor 1,4.239,-2.169
207843_x_at,CYB5A,cytochrome b5 type A,9.769,2.009
207848_at,AVP,arginine vasopressin,1.712,-1.924
207859_s_at,CHRNB3,cholinergic receptor nicotinic beta 3 subunit,5.214,-1.318
207863_at,ADPRH,ADP-ribosylarginine hydrolase,2.874,-1.605
207875_at,DKK3,dickkopf WNT signaling pathway inhibitor 3,1.157,-2.471
207878_at,KRT76,keratin 76,3.089,-2.031
207887_s_at,CALCR,calcitonin receptor,5.115,-1.353
207896_s_at,DLEC1,deleted in lung and esophageal cancer 1,2.328,-1.639
207904_s_at,LNPEP,leucyl and cystinyl aminopeptidase,6.43,-1.597
207907_at,TNFSF14,tumor necrosis factor superfamily member 14,1.836,-1.202
207914_x_at,EVX1,even-skipped homeobox 1,3.363,-1.277
207915_at,,,4.281,-1.828
207918_s_at,TSPY10///TSPY8///TSPY4///TSPY3///TSPY1,"testis specific protein, Y-linked 10///testis specific protein, Y-linked 8///testis specific protein, Y-linked 4///testis specific protein, Y-linked 3///testis specific protein, Y-linked 1",1.405,-1.211
207919_at,ART1,ADP-ribosyltransferase 1,6.194,-1.099
207920_x_at,ZFX,"zinc finger protein, X-linked",5.961,-1.415
207935_s_at,KRT13,keratin 13,4.452,-3.953
207952_at,IL5,interleukin 5,2.698,-2.286
207960_at,,,6.19,-1.289
207962_at,CAPN11,calpain 11,4.941,-1.19
207969_x_at,ACRV1,acrosomal vesicle protein 1,6.034,-1.026
207973_x_at,ACRV1,acrosomal vesicle protein 1,6.088,-1.392
207987_s_at,GNRH1,gonadotropin releasing hormone 1,6.055,-2.421
207990_x_at,ACRV1,acrosomal vesicle protein 1,6.195,-1.149
207992_s_at,AMPD3,adenosine monophosphate deaminase 3,7.389,-3.017
208006_at,FOXI1,forkhead box I1,5.265,-1.057
208039_at,SLC9A2,solute carrier family 9 member A2,5.373,-1.658
208040_s_at,MYBPC3,"myosin binding protein C, cardiac",5.209,-2.211
208041_at,GRK1,G protein-coupled receptor kinase 1,4.6,-1.765
208044_s_at,PPARD,peroxisome proliferator activated receptor delta,6.688,-1.401
208052_x_at,CEACAM3,carcinoembryonic antigen related cell adhesion molecule 3,6.574,-1.298
208076_at,HIST1H4D,"histone cluster 1, H4d",5.184,-1.563
208077_at,C9orf38,chromosome 9 open reading frame 38,2.622,-2.425
208086_s_at,DMD,dystrophin,4.685,-2.67
208088_s_at,CFHR5,complement factor H related 5,0.49,-1.281
208091_s_at,VOPP1,"vesicular, overexpressed in cancer, prosurvival protein 1",10.762,-1.518
208092_s_at,FAM49A,family with sequence similarity 49 member A,5.516,-2.182
208094_s_at,CCDC130,coiled-coil domain containing 130,7.472,-1.635
208103_s_at,ANP32E,acidic nuclear phosphoprotein 32 family member E,10.068,1.142
208108_s_at,AVPR2,arginine vasopressin receptor 2,3.376,-1.557
208120_x_at,FKSG49,FKSG49,6.988,-1.158
208138_at,GAST,gastrin,5.238,-1.568
208144_s_at,,,5.635,-1.233
208151_x_at,DDX17,DEAD-box helicase 17,5.281,-1.391
208153_s_at,FAT2,FAT atypical cadherin 2,5.315,-4.295
208160_at,,,2.436,-1.216
208168_s_at,CHIT1,chitinase 1,1.968,-1.923
208174_x_at,ZRSR2,"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2",8.313,-1.22
208177_at,SLC34A1,solute carrier family 34 member 1,4.398,-1.903
208178_x_at,TRIO,trio Rho guanine nucleotide exchange factor,6.813,2.67
208185_x_at,,,4.744,-1.657
208186_s_at,LIPE,"lipase E, hormone sensitive type",4.111,-2.672
208190_s_at,LSR,lipolysis stimulated lipoprotein receptor,8.276,-2.429
208191_x_at,PSG4,pregnancy specific beta-1-glycoprotein 4,6.452,-1.308
208195_at,TTN,titin,4.837,-1.481
208198_x_at,KIR2DS1,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1",3.578,-1.005
208210_at,MAS1,"MAS1 proto-oncogene, G protein-coupled receptor",4.934,-2.378
208212_s_at,ALK,anaplastic lymphoma receptor tyrosine kinase,5.47,-1.428
208214_at,ADRB1,adrenoceptor beta 1,1.275,-1.611
208215_x_at,DRD4,dopamine receptor D4,1.144,-1.001
208224_at,HOXB1,homeobox B1,5.208,-1.742
208230_s_at,NRG1,neuregulin 1,5.891,-2.462
208238_x_at,,,8.584,-1.287
208239_at,FOXE1,forkhead box E1,1.459,-1.743
208241_at,NRG1,neuregulin 1,5.671,-1.327
208243_s_at,CNR1,cannabinoid receptor 1,2.512,-1.892
208244_at,BMP3,bone morphogenetic protein 3,2.095,-2.163
208247_at,ERC2-IT1,ERC2 intronic transcript 1,5.482,-1.832
208250_s_at,DMBT1,deleted in malignant brain tumors 1,6.891,-1.272
208251_at,KCNC4,potassium voltage-gated channel subfamily C member 4,3.34,-2.015
208252_s_at,CHST3,carbohydrate sulfotransferase 3,3.683,-2.114
208256_at,EFNA2,ephrin A2,3.965,-2.134
208259_x_at,IFNA7,interferon alpha 7,5.068,-1.626
208260_at,AVPR1B,arginine vasopressin receptor 1B,4.133,-2.128
208261_x_at,IFNA10,interferon alpha 10,5.361,-1.55
208263_at,SRP72,signal recognition particle 72,3.734,-2.254
208267_at,TRPV5,transient receptor potential cation channel subfamily V member 5,5.283,-1.265
208312_s_at,PRAMEF2///PRAMEF1,PRAME family member 2///PRAME family member 1,2.981,-1.008
208320_at,CABP1,calcium binding protein 1,1.103,-1.881
208327_at,CYP2A13,cytochrome P450 family 2 subfamily A member 13,2.333,-2.401
208330_at,ALX4,ALX homeobox 4,3.131,-1.655
208331_at,BPY2,"basic charge, Y-linked, 2",2.792,-2.468
208336_s_at,TECR,"trans-2,3-enoyl-CoA reductase",9.95,-1.093
208344_x_at,IFNA13///IFNA1,interferon alpha 13///interferon alpha 1,4.251,-1.853
208346_at,PPBPP2,pro-platelet basic protein pseudogene 2,2.924,-2.164
208354_s_at,SLC12A3,solute carrier family 12 member 3,1.05,-1.39
208358_s_at,UGT8,UDP glycosyltransferase 8,5.514,3.297
208359_s_at,KCNJ4,potassium voltage-gated channel subfamily J member 4,2.162,-1.99
208371_s_at,RING1,ring finger protein 1,8.404,-1.045
208384_s_at,MID2,midline 2,7.685,-1.555
208389_s_at,SLC1A2,solute carrier family 1 member 2,4.264,-1.615
208390_s_at,GLP1R,glucagon like peptide 1 receptor,5.538,-1.928
208391_s_at,GLP1R,glucagon like peptide 1 receptor,2.175,-1.403
208392_x_at,SP110,SP110 nuclear body protein,5.344,2.283
208397_x_at,KCNJ5,potassium voltage-gated channel subfamily J member 5,2.525,-1.529
208404_x_at,KCNJ5,potassium voltage-gated channel subfamily J member 5,3.892,-3.25
208406_s_at,GRAP2,GRB2-related adaptor protein 2,2.064,-1.389
208407_s_at,TMX2-CTNND1///CTNND1,TMX2-CTNND1 readthrough (NMD candidate)///catenin delta 1,10.331,-1.38
208435_s_at,AQP6,aquaporin 6,1.728,-1.272
208437_at,CLCN1,chloride voltage-gated channel 1,2.558,-1.958
208439_s_at,FCN2,ficolin 2,3.47,-2.167
208451_s_at,C4B_2///C4B///C4A,"complement component 4B (Chido blood group), copy 2///complement component 4B (Chido blood group)///complement component 4A (Rodgers blood group)",5.638,-2.035
208452_x_at,MYO9B,myosin IXB,5.916,-1.603
208456_s_at,RRAS2,related RAS viral (r-ras) oncogene homolog 2,8.43,-1.502
208461_at,HIC1,hypermethylated in cancer 1,0.511,-1.218
208468_at,SOX21,SRY-box 21,2.284,-2.157
208472_at,IKZF4,IKAROS family zinc finger 4,5.421,-1.165
208473_s_at,GP2,glycoprotein 2,4.238,-2.397
208475_at,FRMD4A,FERM domain containing 4A,2.046,-1.768
208477_at,KCNC1,potassium voltage-gated channel subfamily C member 1,4.282,-2.681
208480_s_at,LOC101930322///ABCC6,multidrug resistance-associated protein 6-like///ATP binding cassette subfamily C member 6,1.824,-1.036
208483_x_at,KRT33A,keratin 33A,1.966,-2.923
208490_x_at,HIST1H2BC///HIST1H2BI///HIST1H2BE///HIST1H2BF///HIST1H2BG,"histone cluster 1, H2bc///histone cluster 1, H2bi///histone cluster 1, H2be///histone cluster 1, H2bf///histone cluster 1, H2bg",7.81,2.186
208491_s_at,PGM5,phosphoglucomutase 5,1.947,-1.275
208494_at,SLC6A7,solute carrier family 6 member 7,1.861,-1.29
208503_s_at,GATAD1,GATA zinc finger domain containing 1,6.737,-1.054
208505_s_at,FUT2,fucosyltransferase 2,2.684,-1.946
208520_at,OR10H3,olfactory receptor family 10 subfamily H member 3,5.555,-2.023
208523_x_at,HIST1H2BC///HIST1H2BI///HIST1H2BE///HIST1H2BF///HIST1H2BG,"histone cluster 1, H2bc///histone cluster 1, H2bi///histone cluster 1, H2be///histone cluster 1, H2bf///histone cluster 1, H2bg",6.513,1.734
208526_at,OR2F1,olfactory receptor family 2 subfamily F member 1 (gene/pseudogene),2.953,-2.252
208527_x_at,HIST1H2BE,"histone cluster 1, H2be",8.066,1.955
208537_at,S1PR2,sphingosine-1-phosphate receptor 2,2.196,-1.473
208539_x_at,SPRR2B,small proline rich protein 2B,3.637,-3.921
208543_at,OR10H2,olfactory receptor family 10 subfamily H member 2,1.399,-1.723
208546_x_at,HIST1H2BH,"histone cluster 1, H2bh",7.117,3.333
208549_x_at,PTMA,"prothymosin, alpha",9.565,2.325
208550_x_at,KCNG2,potassium voltage-gated channel modifier subfamily G member 2,1.84,-2.024
208559_at,PDX1,pancreatic and duodenal homeobox 1,2.734,-1.279
208563_x_at,POU3F3,POU class 3 homeobox 3,1.101,-1.443
208564_at,KCNA2,potassium voltage-gated channel subfamily A member 2,2.309,-2.7
208566_at,LOC100996843,ATP-sensitive inward rectifier potassium channel 12-like,1.551,-2.149
208574_at,SOX14,SRY-box 14,1.865,-1.901
208578_at,SCN10A,sodium voltage-gated channel alpha subunit 10,5.934,-1.624
208579_x_at,H2BFS,H2B histone family member S,8.955,2.575
208581_x_at,MT1X,metallothionein 1X,11.784,-1.753
208584_at,SNCG,synuclein gamma,4.18,-2.178
208587_s_at,OR1E2///OR1E1,olfactory receptor family 1 subfamily E member 2///olfactory receptor family 1 subfamily E member 1,6.156,-1.371
208596_s_at,UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10,UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A7///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10,5.844,-1.62
208600_s_at,GPR39,G protein-coupled receptor 39,4.836,1.893
208602_x_at,CD6,CD6 molecule,2.106,-1.24
208606_s_at,WNT4,Wnt family member 4,1.881,-3.061
208607_s_at,SAA2-SAA4///SAA2///SAA1,SAA2-SAA4 readthrough///serum amyloid A2///serum amyloid A1,4.471,-6.318
208611_s_at,SPTAN1,"spectrin alpha, non-erythrocytic 1",9.552,-1.52
208613_s_at,FLNB,filamin B,9.46,-3.562
208614_s_at,FLNB,filamin B,10.17,-2.944
208615_s_at,PTP4A2,"protein tyrosine phosphatase type IVA, member 2",8.605,2.386
208624_s_at,EIF4G1,eukaryotic translation initiation factor 4 gamma 1,5.966,-1.009
208636_at,ACTN1,actinin alpha 1,11.678,-1.156
208637_x_at,ACTN1,actinin alpha 1,10.334,-1.339
208647_at,FDFT1,farnesyl-diphosphate farnesyltransferase 1,11.841,-1.112
208650_s_at,CD24,CD24 molecule,7.422,-5.233
208657_s_at,SEPT9,septin 9,8.79,-1.619
208670_s_at,EID1,EP300 interacting inhibitor of differentiation 1,8.88,2.162
208671_at,SERINC1,serine incorporator 1,11.447,-1.012
208698_s_at,NONO,"non-POU domain containing, octamer-binding",10.122,1.044
208715_at,TMCO1,transmembrane and coiled-coil domains 1,9.464,-1.074
208723_at,USP11,ubiquitin specific peptidase 11,9.091,1.105
208739_x_at,LOC101929087///SUMO2///SUMO3,small ubiquitin-related modifier 2 pseudogene///small ubiquitin-like modifier 2///small ubiquitin-like modifier 3,11.499,1.215
208748_s_at,FLOT1,flotillin 1,5.17,2.833
208757_at,TMED9,transmembrane p24 trafficking protein 9,9.404,-1.588
208773_s_at,ANKHD1-EIF4EBP3///ANKHD1,ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1,9.856,-1.045
208779_x_at,MIR4640///DDR1,microRNA 4640///discoidin domain receptor tyrosine kinase 1,9.94,-2.664
208782_at,FSTL1,follistatin like 1,9.157,-3.806
208789_at,PTRF,polymerase I and transcript release factor,8.952,-1.829
208806_at,CHD3,chromodomain helicase DNA binding protein 3,6.896,1.493
208824_x_at,CDK16,cyclin dependent kinase 16,9.148,-1.214
208828_at,POLE3,"DNA polymerase epsilon 3, accessory subunit",10.621,1.045
208855_s_at,STK24,serine/threonine kinase 24,11.741,-1.11
208858_s_at,ESYT1,extended synaptotagmin 1,10.054,-1.495
208872_s_at,REEP5,receptor accessory protein 5,10.768,-1.325
208873_s_at,REEP5,receptor accessory protein 5,10.943,-1.07
208888_s_at,NCOR2,nuclear receptor corepressor 2,2.367,-1.939
208890_s_at,PLXNB2,plexin B2,9.777,-1.985
208907_s_at,MRPS18B,mitochondrial ribosomal protein S18B,8.737,1.348
208943_s_at,SEC62,"SEC62 homolog, preprotein translocation factor",10.122,-1.558
208944_at,TGFBR2,transforming growth factor beta receptor 2,9.768,-1.956
208959_s_at,ERP44,endoplasmic reticulum protein 44,10.536,-1.91
208964_s_at,MIR1908///FADS1,microRNA 1908///fatty acid desaturase 1,10.512,-1.017
208998_at,UCP2,uncoupling protein 2,7.711,5.646
209000_s_at,SEPT8,septin 8,6.543,-3.503
209002_s_at,CALCOCO1,calcium binding and coiled-coil domain 1,8.49,-1.249
209005_at,FBXL5,F-box and leucine rich repeat protein 5,8.151,-1.406
209007_s_at,RSRP1,arginine and serine rich protein 1,10.208,-1.042
209013_x_at,TRIO,trio Rho guanine nucleotide exchange factor,6.153,3
209015_s_at,DNAJB6,DnaJ heat shock protein family (Hsp40) member B6,9.925,1.163
209023_s_at,STAG2,stromal antigen 2,7.922,2.895
209028_s_at,ABI1,abl interactor 1,9.561,-1.344
209035_at,MDK,midkine (neurite growth-promoting factor 2),6.71,4.019
209040_s_at,PSMB8,proteasome subunit beta 8,8.715,1.866
209048_s_at,ZMYND8,zinc finger MYND-type containing 8,10.042,-2.095
209049_s_at,ZMYND8,zinc finger MYND-type containing 8,10.058,-1.426
209052_s_at,WHSC1,Wolf-Hirschhorn syndrome candidate 1,6.278,2.576
